# Required | A unique content ID for the item. Use the item's SKU if you can. Each content ID must appear only once in your catalog. To run dynamic ads this ID must exactly match the content ID for the same item in your Meta Pixel code. Character limit: 100,# Required | A specific and relevant title for the item. See title specifications: https://www.facebook.com/business/help/2104231189874655 Character limit: 200,# Required | A short and relevant description of the item. Include specific or unique product features like material or color. Use plain text and don't enter text in all capital letters. See description specifications: https://www.facebook.com/business/help/2302017289821154 Character limit: 9999,# Required | The current availability of the item. | Supported values: in stock; out of stock,# Required | The current condition of the item. | Supported values: new; used,# Required | The URL of the specific product page where people can buy the item.,# Required | The URL for the main image of your item. Images must be in a supported format (JPG/GIF/PNG) and at least 500 x 500 pixels.,# Required | The brand name of the item. Character limit: 100.,# Optional | The price of the item. Format the price as a number followed by the 3-letter currency code (ISO 4217 standards). Use a period (.) as the decimal point; don't use a comma.,# Optional | The Google product category for the item. Learn more about product categories: https://www.facebook.com/business/help/526764014610932.,# Optional | The Facebook product category for the item. Learn more about product categories: https://www.facebook.com/business/help/526764014610932.,# Optional | The quantity of this item you have to sell on Facebook and Instagram with checkout. Must be 1 or higher or the item won't be buyable,# Optional | The discounted price of the item if it's on sale. Format the price as a number followed by the 3-letter currency code (ISO 4217 standards). Use a period (.) as the decimal point; don't use a comma. A sale price is required if you want to use an overlay for discounted prices.,# Optional | The time range for your sale period. Includes the date and time/time zone when your sale starts and ends. If this field is blank any items with a sale_price remain on sale until you remove the sale price. Use this format: YYYY-MM-DDT23:59+00:00/YYYY-MM-DDT23:59+00:00. Enter the start date as YYYY-MM-DD. Enter a 'T'. Enter the start time in 24-hour format (00:00 to 23:59) followed by the UTC time zone (-12:00 to +14:00). Enter '/' and then repeat the same format for your end date and time. The example row below uses PST time zone (-08:00).,# Optional | Use this field to create variants of the same item. Enter the same group ID for all variants within a group. Learn more about variants: https://www.facebook.com/business/help/2256580051262113 Character limit: 100.,# Optional | The gender of a person that the item is targeted towards. | Supported values: female; male; unisex,# Optional | The color of the item. Use one or more words to describe the color. Don't use a hex code. Character limit: 200.,# Optional | The size of the item written as a word or abbreviation or number. For example: small; XL; 12. Character limit: 200.,# Optional | The age group that the item is targeted towards. | Supported values: adult; all ages; infant; kids; newborn; teen; toddler,# Optional | The material that the item is made from; such as cotton; denim or leather. Character limit: 200.,# Optional | The pattern or graphic print on the item. Character limit: 100.,# Optional | Delivery details for the item. Format as Country:Region:Service:Price. Include the 3-letter ISO 4217 currency code in the price. Enter the price as 0.0 to use the free delivery overlay in your ads. Use a semi-colon ";" or a comma ";" to separate multiple delivery details for different regions or countries. Only people in the specified region or country will see delivery details for that region or country. You can leave out the region (keep the double "::") if your delivery details are the same for an entire country.,# Optional | The shipping weight of the item. Include the unit of measurement (lb/oz/g/kg).,# Optional | Legal disclaimer text for product offers. This text provides important legal or regulatory information that must be displayed with the product offer. For example: "Valid while supplies last. Terms and conditions apply.",# Optional | URL linking to the full disclaimer text. This provides a link to a page containing the complete disclaimer information for the product offer. For example: "https://example.com/terms-and-conditions",# Optional | The URL for a video of your product. Link should be a videos file on a file hosting website; not a video player. Videos must be in a supported format (.3g2; .3gp; .3gpp; .asf; .avi; .dat; .divx; .dv; .f4v; .flv; .gif; .m2ts; .m4v; .mkv; .mod; .mov; .mp4; .mpe; .mpeg; .mpeg4; .mpg; .mts; .nsv; .ogm; .ogv; .qt; .tod; .ts; .vob or .wmv).,# Optional | The URL for a video of your product. Link should be a videos file on a file hosting website; not a video player. Videos must be in a supported format (.3g2; .3gp; .3gpp; .asf; .avi; .dat; .divx; .dv; .f4v; .flv; .gif; .m2ts; .m4v; .mkv; .mod; .mov; .mp4; .mpe; .mpeg; .mpeg4; .mpg; .mts; .nsv; .ogm; .ogv; .qt; .tod; .ts; .vob or .wmv).,# Optional | The item's Global Trade Item Number (GTIN). Recommended to help classify the item. May appear on the barcode; packaging or book cover. Only provide GTIN if you're sure that it's correct. GTIN types include UPC (12 digits); EAN (13 digits); JAN (8 or 13 digits); ISBN (13 digits) or ITF-14 (14 digits),# Optional | Add labels to products to help filter them into product sets. Max characters: 110 per label; 5000 labels per product,# Optional | Add labels to products to help filter them into product sets. Max characters: 110 per label; 5000 labels per product,# Optional | Describe the fashion style of this item.
id,title,description,availability,condition,link,image_link,brand,price,google_product_category,fb_product_category,quantity_to_sell_on_facebook,sale_price,sale_price_effective_date,item_group_id,gender,color,size,age_group,material,pattern,shipping,shipping_weight,offer_disclaimer,offer_disclaimer_url,video[0].url,video[0].tag[0],gtin,product_tags[0],product_tags[1],style[0]
cmpb23rr4000iffzkfykghft0,Herbal Facewash 200ml,"A deep-cleansing yet balancing herbal face wash formulated to lift away impurities, excess oil, and makeup without disrupting the skin moisture barrier. Enriched with Tamarindus Indica seed gum, natural botanical extracts, and gentle foaming surfactants.",in stock,new,https://anosebeauty.com/product/herbal-facewash-200ml,https://anosebeauty.com/assets/images/product/Herbal%20Facewash%20200ml.webp,Anose,299.00 INR,Health & Beauty > Personal Care > Cosmetics > Skin Care > Facial Cleansers,Health & Beauty > Personal Care > Skin Care > Facial Cleansers,350,249.00 INR,2026-01-01T00:00+05:30/2026-12-31T23:59+05:30,ANOSE-HFW,unisex,Clear Green,200ml,adult,Herbal Extract Gel,,IN::Standard:0.0 INR,240 g,Valid while supplies last. Free shipping over ₹199.,https://anosebeauty.com/shipping-policy,,,,Skincare,Herbal,Natural Daily Cleanser
cmk4ffs7v00040c5s03ix6y70,SPF50 Sunscreen 50ml,"Broad-spectrum SPF 50 sunscreen with UVA/UVB defense, Ceramide NP for skin barrier repair, Niacinamide, and Vitamin C. Lightweight, non-greasy, and absorbs quickly with zero white cast.",in stock,new,https://anosebeauty.com/product/spf50-sunscreen-50ml,https://anosebeauty.com/assets/images/product/Sunscreen%20SPF50.webp,Anose,249.00 INR,Health & Beauty > Personal Care > Cosmetics > Skin Care > Sunscreen,Health & Beauty > Personal Care > Skin Care > Sunscreen,382,199.00 INR,2026-01-01T00:00+05:30/2026-12-31T23:59+05:30,ANOSE-SUN,unisex,White,50ml,adult,Cream Lotion,,IN::Standard:0.0 INR,75 g,Valid while supplies last. Free shipping over ₹199.,https://anosebeauty.com/shipping-policy,https://anosebeauty.com/assets/images/product/sunscreen%20video.mp4,Sunscreen Demo,,Skincare,Best Seller,Sun Protection & Radiance
cmk4ffsnf00060c5so6occ5uu,Anose FaceCream 15g,"Nourishing daily face cream enriched with Aloe Vera, Jojoba Seed Oil, Sandalwood Oil, and Vitamin C. Provides deep hydration, improves skin elasticity, and leaves a soft radiant glow.",in stock,new,https://anosebeauty.com/product/anose-face-cream-15g,https://anosebeauty.com/assets/images/product/Face%20Cream.webp,Anose,99.00 INR,Health & Beauty > Personal Care > Cosmetics > Skin Care > Moisture & Treatments,Health & Beauty > Personal Care > Skin Care > Face Moisturizers,596,69.00 INR,2026-01-01T00:00+05:30/2026-12-31T23:59+05:30,ANOSE-FC,unisex,Light Pink,15g,adult,Herbal Nourishing Cream,,IN::Standard:49.00 INR,40 g,Valid while supplies last. Free shipping over ₹199.,https://anosebeauty.com/shipping-policy,,,,Skincare,Hydration,Daily Hydration Cream
cmk4ffrsh00020c5spk070axp,Beaded Facewash 100ml,"Deep cleansing exfoliating face wash with gentle micro-beads, Salicylic Acid, and Niacinamide. Removes excess sebum and impurities while unclogging pores without drying.",in stock,new,https://anosebeauty.com/product/beaded-facewash-100ml,https://anosebeauty.com/assets/images/product/Beads%20Facewash%20100%20ml.webp,Anose,199.00 INR,Health & Beauty > Personal Care > Cosmetics > Skin Care > Facial Cleansers,Health & Beauty > Personal Care > Skin Care > Facial Cleansers,295,149.00 INR,2026-01-01T00:00+05:30/2026-12-31T23:59+05:30,ANOSE-BFW,unisex,Blue & Red Micro-beads,100ml,adult,Exfoliating Cleansing Gel,,IN::Standard:49.00 INR,130 g,Valid while supplies last. Free shipping over ₹199.,https://anosebeauty.com/shipping-policy,https://anosebeauty.com/assets/images/product/facewash%20video.mp4,Facewash Demo,,Skincare,Exfoliating,Deep Pore Cleanser
cmk4fftxg000c0c5stgcx1r10,Hibiscus Shampoo 200ml,"Natural Hibiscus extract shampoo formulated to strengthen hair roots, restore natural shine, and gently purify the scalp. Paraben-free and safe for regular use.",in stock,new,https://anosebeauty.com/product/hibiscus-shampoo-200ml,https://anosebeauty.com/assets/images/product/Hibiscuss%20Shampoo%20200ml.webp,Anose,249.00 INR,Health & Beauty > Personal Care > Hair Care > Shampoo & Conditioner,Health & Beauty > Personal Care > Hair Care > Shampoo,250,199.00 INR,2026-01-01T00:00+05:30/2026-12-31T23:59+05:30,ANOSE-HS,unisex,Ruby Hibiscus,200ml,adult,Botanical Extract Liquid,,IN::Standard:0.0 INR,240 g,Valid while supplies last. Free shipping over ₹199.,https://anosebeauty.com/shipping-policy,,,,Haircare,Herbal,Strengthening Shampoo
ANOSE-BFW-50,Beaded Facewash 50ml,"Travel-sized deep cleansing face wash with exfoliating micro-beads to lift dirt, excess oil, and impurities on the go while keeping skin soft and refreshed.",in stock,new,https://anosebeauty.com/product/beaded-facewash-50ml,https://anosebeauty.com/assets/images/product/Beads%20Facewash%2050%20ml.webp,Anose,149.00 INR,Health & Beauty > Personal Care > Cosmetics > Skin Care > Facial Cleansers,Health & Beauty > Personal Care > Skin Care > Facial Cleansers,500,99.00 INR,2026-01-01T00:00+05:30/2026-12-31T23:59+05:30,ANOSE-BFW,unisex,Blue & Red Micro-beads,50ml,adult,Exfoliating Cleansing Gel,,IN::Standard:49.00 INR,70 g,Valid while supplies last. Free shipping over ₹199.,https://anosebeauty.com/shipping-policy,https://anosebeauty.com/assets/images/product/facewash%20video.mp4,Facewash Demo,,Skincare,Travel Size,Travel Facial Cleanser
ANOSE-HC-100,Hair Conditioner 100ml,"Deep conditioning and detangling hair formula for smooth, frizz-free, and manageable tresses with natural plant proteins and moisture-locking actives.",in stock,new,https://anosebeauty.com/product/hair-conditioner-100ml,https://anosebeauty.com/assets/images/product/Hair%20Conditioner.webp,Anose,179.00 INR,Health & Beauty > Personal Care > Hair Care > Shampoo & Conditioner,Health & Beauty > Personal Care > Hair Care > Conditioner,300,149.00 INR,2026-01-01T00:00+05:30/2026-12-31T23:59+05:30,ANOSE-HC,unisex,White Cream,100ml,adult,Silk Conditioning Cream,,IN::Standard:49.00 INR,130 g,Valid while supplies last. Free shipping over ₹199.,https://anosebeauty.com/shipping-policy,,,,Haircare,Frizz Control,Smoothing Hair Conditioner
ANOSE-HFW-100,Herbal Facewash 100ml,"Gentle botanical face wash in a convenient 100ml bottle. Powered by natural herbs and mild foaming agents for sensitive skin and daily radiance.",in stock,new,https://anosebeauty.com/product/herbal-facewash-100ml,https://anosebeauty.com/assets/images/product/Herbal%20Facewash%20100ml.webp,Anose,189.00 INR,Health & Beauty > Personal Care > Cosmetics > Skin Care > Facial Cleansers,Health & Beauty > Personal Care > Skin Care > Facial Cleansers,400,149.00 INR,2026-01-01T00:00+05:30/2026-12-31T23:59+05:30,ANOSE-HFW,unisex,Clear Green,100ml,adult,Herbal Cleanser Gel,,IN::Standard:49.00 INR,130 g,Valid while supplies last. Free shipping over ₹199.,https://anosebeauty.com/shipping-policy,,,,Skincare,Gentle Cleanse,Botanical Face Cleanser
ANOSE-HS-100,Hibiscus Shampoo 100ml,"Handy 100ml hibiscus extract herbal shampoo to prevent hair breakage and nourish the scalp naturally with essential botanical nutrients.",in stock,new,https://anosebeauty.com/product/hibiscus-shampoo-100ml,https://anosebeauty.com/assets/images/product/Hibiscus%20Shampoo%20100%20ml.webp,Anose,129.00 INR,Health & Beauty > Personal Care > Hair Care > Shampoo & Conditioner,Health & Beauty > Personal Care > Hair Care > Shampoo,300,99.00 INR,2026-01-01T00:00+05:30/2026-12-31T23:59+05:30,ANOSE-HS,unisex,Ruby Hibiscus,100ml,adult,Botanical Extract Liquid,,IN::Standard:49.00 INR,130 g,Valid while supplies last. Free shipping over ₹199.,https://anosebeauty.com/shipping-policy,,,,Haircare,Anti Hairfall,Daily Strengthening Shampoo
ANOSE-KAJAL-2,Kajal (Smudge & Water Proof) Set of 2,"Intense pigmented jet black kajal pencil with 24-hour waterproof, smudge-proof formulation. Value set of 2 pencils for all-day eye definition.",in stock,new,https://anosebeauty.com/product/kajal-set-of-2,https://anosebeauty.com/assets/images/product/1000x1000.webp,Anose,599.00 INR,Health & Beauty > Personal Care > Cosmetics > Eye Makeup > Eye Liner,Health & Beauty > Personal Care > Cosmetics > Eye Makeup,200,499.00 INR,2026-01-01T00:00+05:30/2026-12-31T23:59+05:30,ANOSE-KAJAL,female,Jet Black,Set of 2,adult,Smudge-Proof Pigment,,IN::Standard:0.0 INR,30 g,Valid while supplies last. Free shipping over ₹199.,https://anosebeauty.com/shipping-policy,,,,Eye Makeup,Waterproof,Smudge-Proof Eye Definier
